word,definition
aardwolf,South African carnivorous fox-like quadruped
aasvogel,South African vulture
aba,garment of camel or goat hair; camel or goat-hair fabric
abacinate,to blind by putting red-hot copper basin near the eyes
abactor,cattle thief
abaculus,small tile for mosaic
abaft,toward or at the stern of a ship; further aft
abampere,unit equivalent to 10 amperes
abapical,at the lowest point
abarticular,not connected with the joint
abasement,action of humbling or degrading
abasia,inability to walk due to lack of muscular coordination
abask,in genial warmth
abatis,rampart of felled trees and branches
abatjour,skylight or device to direct light into a room
abattoir,public slaughterhouse
abature,trail through wood beaten down by a stag
abb,yarn used for warp
abba,Syriac or Coptic bishop
abbatial,of like or pertaining to abbots or an abbey
abbozzo,preliminary sketch
abditive,remote; secret; hidden
abdominous,having a paunch or big belly
abducent,turning away; bearing away from
abeam,in a line at right angles to the length of a vessel on the beam
abear,to bear; to comport; to behave
abecedarian,of like or pertaining to the order of the alphabet; rudimentary
abecedism,word created from the initials of words in a phrase
abele,white poplar tree
abeng,Jamaican bugle made from cow horn
aberdevine,alternate name for the siskin
aberuncators,long tool for pruning tall branches
abessive,indicating absence or lack
abiectic,of like or pertaining to fir trees or fir sap
abigail,a lady's maid
abigeus,cattle rustler
abiogenesis,spontaneous generation of living matter
abiotrophy,degeneration; loss of physical vitality or ability
abirritate,to alleviate irritation; to reduce sensitivity
abiturient,pupil leaving school for university
abject,humble; miserable; craven
ablactation,weaning of a child from its mother's milk
ablative,indicating direction from or time when
ablator,thermal protection on outside of spacecraft
ablaut,variation in root vowel of words to change meaning
ablegate,papal envoy or legate
ablepsia,blindness
ablow,in a blowing state
abluent,cleanser or cleansing product
ablution,ritual washing
ablutomania,mania for washing oneself
abnegate,to renounce or repudiate
abodement,an omen; a foretelling
aboideau,tide gate
abolla,Roman military cloak
abomasum,ruminant's fourth stomach
aboral,away from the mouth
abord,to accost; to approach
aborning,during birth; while being born
aborticide,killing of a fetus; abortion
abortuary,anti-abortion term for an abortion clinic
aboulia,loss of ability to make decisions
aboulomania,pathological indecisiveness
aboutsledge,largest blacksmith's hammer
abra,narrow mountain pass
abradant,a substance that abrades
abraid,to awaken or rouse
abraxas,gem engraved with mystical word and bearing human-animal figure
abreuvoir,joint or gap between two stones in masonry
abroach,in a condition to allow liquor to run out
abrosia,fasting
abscind,to pare reduce cut off or away
abscissa,horizontal distance from a fixed line to a point
abscission,cutting off; cutting away
absconce,lantern used in monasteries and night offices
abseil,to descend a rock face using a double rope
absentaneous,done in absence; pertaining to absence
absinthial,of like or pertaining to wormwood; bitter
absinthism,disease resembling alcoholism
absit,leave to pass one night away from college
absolutism,doctrine of government by a single absolute ruler; autocracy
absolutive,indicating subject or object of intransitive verb
absolutory,forgiving or absolving
absonant,discordant; abhorrent
absorbefacient,causing or promoting absorption
absorptiometer,instrument for measuring solubility of gases in liquids
absquatulate,to decamp; to leave quickly; to flee
absterge,wipe clean; expunge; purge; purify
absurdism,doctrine that we live in an irrational universe
abterminal,going from the end inwards
abthane,monastic region of the old Irish church
abulia,lack of ability to make decisions; aboulia
abuna,Ethiopian patriarch
abusion,misuse; outrage; deception
abutment,masonry on a wall that supports an arch
abvolt,unit of electrical potential equal to one hundred millionth of a volt
aby,to make amends; atone; pay a penalty
abyssopelagic,of like or pertaining to the depths of the ocean
academicism,doctrine that nothing can be known
acanaceous,bearing prickles or thistles; prickly
acantha,prickle
acanthous,spiny; prickly
acapnia,lack or deficiency of carbon dioxide
acapnotic,non-smoker; non-smoking
acariasis,irritating itching insect infestation
acaricide,killer of mites and ticks
acarine,of like or pertaining to ticks or mites
acarology,study of mites
acarophobia,fear of itching or of insects causing itching
acarpous,sterile; not bearing fruit
acatalectic,having complete or full number of syllables in a poetic line
acatalepsy,the unknowableness of all things to a certainty
acatamathesia,inability to understand data presented to the senses
acates,provisions that have been purchased
acatour,provisioner; quartermaster
acaudate,tailless
acaulescent,having a very short stem
accelerometer,instrument for measuring acceleration or vibrations
accend,to kindle
accensor,acolyte
accentor,songbird
acceptilation,remission of debt or liability through fictitious repayment
accessit,prize for students in second place; honourable mention
acciaccatura,very short note played before a longer one
accidence,grammar book; science of inflections in grammar
accidentalism,theory that events do not have causes
accidie,sloth; physical torpor
accinge,to gird
accipiter,bandage worn around the nose
accipitral,like a bird of prey; rapacious
accipitrine,of like or pertaining to falcons and hawks
accismus,in rhetoric pretending to refuse something
accite,to cite; to summon
acclinate,sloping upwards
acclivity,upward slope
accloy,to hobble with a horseshoe nail
accolade,curved architectural moulding; vertical line joining two musical staves
accolent,neighbouring
accollé,of a heraldic animal entwined or collared
accosted,in heraldry two figures placed side by side
